year,Member States,Returnees_total,Frontex staff,"Escorts, observers, escort leaders, medical staff",Medical personnel,Monitors,frontex_contribution,Escort Leaders,Escorts,Escorts from Pool,frontex_contribution_per_person,use_of_force
2018,Slovenia,3,0,8,0,0,0,0,0,0,0,0
2018,Spain,606,7,1251,32,26,2682355.9,0,0,0,4426.3298679867985,0
2018,Sweden,130,0,340,10,8,1320059.67,0,0,0,10154.305153846153,0
2018,Switzerland,81,2,231,16,7,1295868.51,0,0,0,15998.376666666667,0
2019,Albania,0,46,0,0,0,81216.05,0,0,0,0,0
2019,Austria,646,44,1524,0,52,6790512.67,43,1472,0,10511.629520123839,2.345201238390093
2019,Belgium,217,49,54,0,55,580023.86,5,48,0,2672.9210138248845,0.24423963133640553
2019,Bulgaria,25,14,77,0,3,99223.41,12,52,13,3968.9364,3.08
2019,Czech Republic,3,2,12,0,1,6722.56,1,8,3,2240.8533333333335,4
2019,Denmark,6,2,31,0,0,90860.88,2,28,0,15143.480000000001,5
2019,Finland,31,7,78,0,7,407254.68,8,70,0,13137.247741935484,2.5161290322580645
2019,France,1382,67,2102,0,60,2602206.05,72,1892,0,1882.9276772793053,1.4211287988422576
2019,Frontex,0,9,0,0,0,2602206,0,0,0,0,0
2019,Georgia,0,16,0,0,0,32003.27,0,0,0,0,0
2019,Germany,5831,105,8214,0,163,26374053.32,167,8031,0,4523.075513634025,1.4059338020922654
2019,Greece,26,4,78,0,5,0,4,74,0,0,3
2019,Hungary,15,12,109,0,4,55660.77,11,93,5,3710.718,7.266666666666667
2019,Iceland,28,5,26,0,9,343414.14,4,22,0,12264.790714285715,0.9285714285714286
2019,Ireland,47,5,113,0,4,0,3,108,0,0,2.3617021276595747
2019,Italy,1863,13,5296,0,34,4176211.2399999998,122,5174,0,2241.6592807300053,2.8427267847557705
2019,Luxembourg,24,3,37,0,4,67101.98,6,30,0,2795.915833333333,1.5
2019,Montenegro,0,1,0,0,0,2696.4,0,0,0,0,0
2019,Netherlands,9,5,23,0,3,10945.67,3,12,3,1216.1855555555555,2
2019,Norway,18,3,63,0,1,383785.77999999997,6,55,0,21321.43222222222,3.388888888888889
2019,Poland,4,3,17,0,2,21100.42,4,13,0,5275.105,4.25
2019,Portugal,1,3,5,0,2,681.75,1,2,2,681.75,5
2019,Romania,2,1,6,0,0,6266.04,1,5,0,3133.02,3
2019,Slovenia,3,3,13,0,0,6016.97,3,7,3,2005.6566666666668,4.333333333333333
2019,Spain,669,9,1239,0,23,3346856.32,17,1222,0,5002.774768310912,1.852017937219731
2019,Sweden,323,41,774,0,34,5198082.82,38,733,0,16093.135665634676,2.386996904024768
2019,Switzerland,33,12,127,0,6,1065511.22,9,117,0,32288.218787878788,3.8181818181818183
2019,Ukraine,0,2,0,0,0,4878.13,0,0,0,0,0
2020,Albania,0,7,0,0,0,25355.960000000003,0,0,0,0,0
2020,Austria,240,6,629,0,22,1188678.81,18,603,0,4952.828375,2.5875
2020,Belgium,58,7,24,0,13,345354.87,3,21,0,5954.394310344827,0.41379310344827586
2020,Bulgaria,7,3,20,0,1,13288.57,6,14,0,1898.3671428571429,2.857142857142857
2020,Czech Republic,8,2,25,0,0,0,1,24,0,0,3.125
2020,Finland,23,1,55,0,4,171350.54,6,49,0,7450.0234782608695,2.391304347826087
2020,France,1001,11,1755,0,31,1344010.78,47,1645,0,1342.668111888112,1.6903096903096904
2020,Frontex,0,1,0,0,0,418500,0,0,0,0,0
2020,Georgia,0,2,0,0,0,11490.51,0,0,0,0,0
2020,Germany,3851,22,5964,0,100,9386724.26,108,5840,0,2437.4770864710463,1.5445338873019996
2020,Greece,98,2,182,0,10,0,6,176,0,0,1.8571428571428572
2020,Hungary,14,5,32,0,2,16857.350000000002,4,28,0,1204.0964285714288,2.2857142857142856
2020,Iceland,16,0,26,0,5,66927.57,4,22,0,4182.973125,1.625
2020,Italy,1491,2,4125,0,23,1641745.91,200,3925,0,1101.1038967136149,2.766599597585513
2020,Luxembourg,12,2,16,0,2,35814.28,2,14,0,2984.523333333333,1.3333333333333333
