user_country,systems,installed,donors,donation_amount,date_of_agreement,entry_into_operation,end_of_operation
Suriname,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Sweden,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Switzerland,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Syria,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Tajikistan,"I-24/7, FIND, MIND",NA,"US (CT Bureau): financial support for I-24/7 rollout, $ amount unknown.",NA,NA,NA,NA
Tanzania,"I-24/7, FIND, MIND",NA,EAC,NA,NA,NA,NA
Thailand,"I-24/7, FIND, MIND",NA,"US (CT Bureau): financial support for I-24/7 rollout, $ amount unknown.",NA,NA,NA,NA
Gambia,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Timor-Leste,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Togo,"I-24/7, FIND, MIND, WAPIS",NA,NA,NA,NA,WAPIS: 2022,NA
Tonga,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Trinidad and Tobago,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Tunisia,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Turkey,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
Turkmenistan,"I-24/7, FIND, MIND",NA,NA,NA,NA,NA,NA
